,data mean,synth mean,err %
loan_amnt,11254.25,11752.61,4.0
int_rate,0.12,0.13,9.0
installment,324.78,335.77,3.0
annual_inc,68968.29,73197.59,6.0
dti,13.36,13.56,1.0
delinq_2yrs,0.15,0.05,-63.0
inq_last_6mths,0.87,1.04,20.0
mths_since_last_delinq,37.03,38.24,3.0
mths_since_last_record,92.01,92.37,0.0
open_acc,9.29,11.0,18.0
pub_rec,0.06,0.09,55.0
revol_bal,13387.32,15176.78,13.0
pub_rec_bankruptcies,0.04,0.06,33.0
credit_age,13.83,14.45,4.0
mths_since_last_delinq_isNA,0.66,0.63,-4.0
mths_since_last_record_isNA,0.95,0.95,1.0
emp_length_yrs,4.97,5.15,4.0
