,loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,pub_rec_bankruptcies,credit_age,mths_since_last_delinq_isNA,mths_since_last_record_isNA,emp_length_yrs,term_36months,term_60months,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,verification_status_NotVerified,verification_status_SourceVerified,verification_status_Verified,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_major_purchase,purpose_medical,purpose_other,purpose_small_business,purpose_wedding
0,12426.8994140625,0.14475923776626587,248.574462890625,80048.5546875,12.059961318969727,0.0,1.0,35.0,92.0,16.0,0.0,7916.89599609375,0.0,47.655982971191406,0.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,38771.90625,0.20301669836044312,794.2353515625,73934.171875,13.92742919921875,0.0,2.0,38.0,92.0,17.0,0.0,24390.0078125,0.0,10.70992374420166,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1174.1005859375,0.10747987776994705,13.359130859375,24251.9765625,4.879807472229004,0.0,1.0,26.0,92.0,9.0,0.0,-2039.72265625,0.0,32.950801849365234,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10277.9130859375,0.12349511682987213,287.03326416015625,71577.171875,1.1303014755249023,1.0,0.0,0.0,93.0,8.0,0.0,3230.0869140625,0.0,4.394075393676758,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16385.921875,0.1529218554496765,570.0331420898438,103460.171875,19.192485809326172,0.0,2.0,33.0,93.0,1.0,0.0,15674.3466796875,0.0,5.890163421630859,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2740.8037109375,0.16358861327171326,167.653564453125,64777.3828125,8.159871101379395,0.0,0.0,36.0,92.0,0.0,0.0,5426.79052734375,0.0,0.4402341842651367,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,12717.314453125,0.09782470017671585,385.52203369140625,52287.5703125,22.03944206237793,0.0,0.0,56.0,92.0,10.0,0.0,29204.73046875,0.0,12.678962707519531,0.0,1.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,11065.24609375,0.15526863932609558,375.5818786621094,225721.0625,12.794454574584961,0.0,0.0,22.0,92.0,4.0,0.0,16210.3974609375,0.0,28.024492263793945,0.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,-2601.4873046875,0.15128666162490845,-101.82327270507812,95991.328125,2.644198417663574,0.0,0.0,41.0,92.0,2.0,0.0,-2869.5302734375,0.0,17.64362907409668,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7771.2470703125,0.17740853130817413,271.22991943359375,29168.6015625,14.356538772583008,0.0,0.0,47.0,92.0,8.0,0.0,9035.1083984375,0.0,9.272492408752441,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,20842.81640625,0.2009018063545227,799.8536376953125,191327.46875,23.467052459716797,0.0,0.0,37.0,92.0,24.0,0.0,115987.5390625,0.0,5.448818206787109,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
